0:-0.000186309;-0.000139299;-9.33507e-05;-1.34215e-06;7.17408e-06;-2.90202e-05
1:0.000251694;0.000380491;0.000423339;-1.48764e-05;-2.43732e-05;0.000512792
2:0.000160587;0.00030882;0.000304925;-2.79197e-05;-1.8721e-05;0.00046952
3:-0.000141152;9.01541e-05;0.000130681;-5.73226e-05;-1.32028e-05;-7.58599e-05
4:0.000405649;0.000525469;0.000635987;-1.29187e-05;-3.5915e-05;0.000568334
5:-9.25311e-05;1.4162e-05;-4.66218e-07;2.47281e-05;-2.6296e-06;3.37256e-05
6:4.50899e-05;3.56503e-05;5.49088e-06;-8.28351e-06;-1.13817e-07;0.000500245
7:-0.000213149;-0.000135963;-0.000164424;-3.7772e-05;-1.04528e-05;0.000369095
8:-0.0004054;-0.000244931;-0.000213692;-1.77368e-05;-4.3825e-05;0.000244462
9:-0.000215618;-1.73551e-05;-1.5872e-05;-2.48498e-05;-2.97874e-05;0.00029716
10:-0.000472316;-0.000129876;6.23742e-05;3.64822e-05;1.34819e-05;-4.70801e-06
11:-0.000152899;-7.70539e-05;-0.000138508;2.50082e-05;7.34204e-05;9.2749e-05
12:-0.000272578;-0.000102714;-3.09507e-05;-4.89168e-05;-9.23851e-06;0.000279839
13:6.6082e-05;0.000187339;0.000148213;-2.19901e-05;-1.08654e-05;0.000454991
14:-0.000307764;0.0001061;0.00023512;-2.16517e-06;-8.05581e-06;-0.000184927
15:-0.000154059;-4.94201e-05;-0.000115667;4.16094e-05;2.55222e-05;6.48714e-05
16:-0.000165989;5.34509e-05;5.00936e-05;-2.09956e-05;-3.31288e-05;0.000299426
17:0.000163133;0.000316139;0.000453415;-4.6511e-05;-1.28409e-05;0.000455227
18:-1.20765e-06;9.93535e-06;-2.42435e-05;1.19234e-05;2.04798e-05;0.000476094
19:-0.000155698;-9.62637e-05;-0.000124402;-5.92067e-05;-1.97814e-05;0.000395272
20:8.17994e-05;0.000224664;0.000182996;-3.64288e-05;-1.4555e-05;0.000446606
21:-0.000295159;0.00012933;0.000230267;-2.62766e-06;3.42835e-05;-0.000135204
22:-6.83693e-05;0.000119016;-2.2843e-05;-0.000135531;-5.58434e-05;1.85697e-05
23:0.000407366;0.000354495;0.000260383;-0.000214374;-4.13939e-05;0.000624708
24:-0.000158456;7.97795e-05;0.000127816;-8.45471e-05;1.94347e-05;0.000261689
25:-0.000327413;-0.000195302;-0.000132418;-2.30282e-05;-4.54201e-06;0.000290952
